"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AVAILABILITY";"CENTROID_NOT_SPECIFIED";"CHECK_PRICES";"COMMENT";"CONN_GENDER";"CONN_ORIENTATION";"CONTACT_MATERIAL";"DATASHEET";"DESCRIPTION";"DESRIPTION";"DEVICE_CLASS_L1";"DEVICE_CLASS_L2";"DEVICE_CLASS_L3";"DIGIKEY_DESCRIPTION";"DIGIKEY_PART_NUMBER";"HEIGHT";"LEAD_FREE";"LIB_STATUS";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MFG_PACKAGE_IDENT";"MFG_PACKAGE_IDENT_DATE";"MFG_PACKAGE_IDENT_REV";"MFN";"MFR";"MOUSER_DESCRIPTION";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"NUMBER_OF_POSITIONS";"OUR-STOCK";"OUR_STOCK";"PACKAGE";"PART_VALUE";"POPULARITY";"PREFIX";"PRICE";"PRICE-1";"PRODUCT_TYPE";"PURCHASE-URL";"ROHS";"SNAPEDA_LINK";"SUPPLIER-1";"TECHNOLOGY";"TEMPERATURE_RANGE_HIGH";"TEMPERATURE_RANGE_LOW";"TYPE";"VERIFICATION_VERSION";
"3";"50PX470MEFC10X20";"50PX470MEFC10X20";"CAPACITOR-ELKO-RM5-10X16";"C32, C33, C34";"Electrolytic Cap, 470µF, 25V, Low ESR, Kemet, Pitch=5mm, Dia=10mm, L=12,5mm";"";"";"";"";"";"";"";"";"";"";"470uF ±20% 50V 10mm 20mm 5mm 2000Hrs @ 105℃ -55℃ ~ +105℃";"";"";"";"";"";"";"";"";"Prototype";"";"";"";"";"";"";"50PX470MEFC10X20";"Rubicon";"";"";"";"";"";"";"";"20";"";"470uF/50V";"";"";"";"0.14";"";"";"";"";"LCSC";"THT";"";"";"";"";
"2";"61300411121";"61300411121";"X04_100MIL_1ROW";"J2, J4";"Check availability  Check availability";"";"";"";"";"";"";"";"";"";"";" Connector Header Through Hole 4 position 0.100 (2.54mm) ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"61300411121";"Wurth Electronics";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"615008148521";"615008148521";"615008148521";"J3";"WR-MJ Modular Jack Horizontal Plastic 8P8C Tab Up";"";"";"";"";"";"";"";"";"";"";"RJ45 unshielded 8P8C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"615008148521";"Wurth Elektronik";"";"";"";"";"";"";"";"";"";"615008148521";"";"";"";"";"";"";"";"";"";"";"";"";"Horizontal";"";
"1";"696101000002";"696101000002";"FUSE_RM22.6";"F1";"";"";"";"";"";"";"";"";"";"";"";"Fuse Block 10 A 250V 1 Circuit Cartridge Through Hole";"";"";"";"";"";"";"";"";"Prototype";"";"";"";"";"";"";"696101000002";"Wurth Elektronik";"";"";"";"";"";"";"";"10";"";"10A 5mmx20mm";"";"";"";"0.64";"";"";"";"";"Digikey";"";"";"";"";"";
"12";"726386-2TE_726386-2";"726386-2TE_726386-2";"TE_726386-2";"X5, X7, X11, X12, X13, X14, X15, X16, X19, X20, X21, X22";"Terminals, Faston, GDS-Flachstecker 6.3x0.8mm, TE";"";"";"";"No";"";"";"Male";"Straight";"Tin";"http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F726386%7FG%7Fpdf%7FEnglish%7FENG_CD_726386_G.pdf%7F726386-2";"";"";"Connectors";"Terminal Blocks | Terminals";"unset";"CONN QC TAB 0.250 SOLDER";"A114371-ND";"10mm";"yes";"";"";"";"TE";"726386-2";"0";"0";"";"";"Terminals GDS-FLACHSTECK 6.3";"571-726386-2";"";"";"726386-2";"";"";"";"PTH_TERMINAL_8MM0_0MM8";"";"";"J";"";"";"";"";"yes";"";"";"";"+110°C";"-30°C";"";"0.0.0.1";
"2";"B2B-XH-AM(LF)(SN)";"B2B-XH-AM(LF)(SN)";"B2B-XH-AM(LF)(SN)";"X1, X2";"";"";"";"";"";"";"";"";"";"";"";"Connector, 2 pins, Header THT , Pitch 2.5mm, JST, Vertical";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"B2B-XH-AM(LF)(SN)";"JST";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.03";"";"";"";"";"LCSC";"THT";"";"";"";"";
"3";"B72205S0271K101B72205S2131K101";"B72205S0271K101B72205S2131K101";"EPCOS_B72205S0271K101_0";"V5, V6, V7";"VARISTOR 205V 800A DISC 5MM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Verified";"";"";"";"";"";"";"B72205S0271K1011";"EPCOS";"";"";"";"";"";"";"";"10";"";"430V, 400A";"";"";"";"0.31";"";"";"";"";"Digikey";"";"";"";"";"";
"1";"BC817";"BC817";"SOT23";"Q1";"";"";"";"";"";"";"";"";"";"";"";"Transistor BJT NPN SOT23 45V 0.5A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"BC817";"NXP";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.03";"";"";"";"";"Mouser";"";"";"";"";"";
"1";"CSTNE8M00G520000R0";"CSTNE8M00G520000R0";"CSTNE8M00G520000R0";"IC2";"8.000MHz ±0.50% Ceramic Resonator with Built in Capacitor 10pF 40Ω Stability ±0.20% 3-SMD";"";"";"";"";"";"";"";"";"";"";"8MHz ±0.5% 10pF 40Ω SMD3213-3P Ceramic Resonators ";"";"";"";"";"";"";"";"";"Prototype";"";"";"";"";"";"";"CSTNE8M00G520000R0";"Murata";"";"";"";"";"";"";"";"";"";"8MHz, 0.5%";"";"";"";"0.12";"";"";"";"";"LCSC";"";"";"";"";"";
"2";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL";"FID1, FID2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
