"Part;""Value"";""Device"";""Package"";""Description"";""AUTOMOTIVE"";""CENTROID_NOT_SPECIFIED"";""DATASHEET"";""DESCRIPTION"";""DEVICE_CLASS_L1"";""DEVICE_CLASS_L2"";""DEVICE_CLASS_L3"";""DIGIKEY_DESCRIPTION"";""DIGIKEY_PART_NUMBER"";""FOOTPRINT_VARIANT_NAME_0"";""FORWARD_CURRENT"";""HEIGHT"";""LEAD_FREE"";""LIB_STATUS"";""MAX_JUNCTION_TEMP"";""MAX_REPETITIVE_REVERSE_VOLTAGE"";""MAX_SURGE_FORWARD_CURRENT"";""MF"";""MFG_PACKAGE_IDENT"";""MFG_PACKAGE_IDENT_COMPONENT_ID"";""MFG_PACKAGE_IDENT_DATE"";""MFG_PACKAGE_IDENT_REV"";""MFN"";""MFR"";""MOUSER_DESCRIPTION"";""MOUSER_PART_NUMBER"";""MPN"";""OUR-STOCK"";""OUR_STOCK"";""PACKAGE"";""PART_VALUE"";""PEAK_REVERSE_CURRENT"";""PREFIX"";""PRICE-1"";""PRICE_1"";""ROHS"";""STANDOFF_HEIGHT"";""STOCK"";""SUPPLIER-1"";""SUPPLIER-PN"";""TECHNOLOGY"";""TEMPERATURE_RANGE_HIGH"";""VERIFICATION_VERSION"";",,,,,,,,
"C114;""10uF/25V"";""C_0603"";""0603"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Open Source"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,,,
"C115;""100nF/50V"";""C_0603"";""0603"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Open Source"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,,,
"C116;""50PX470MEFC10X20"";""50PX470MEFC10X20"";""CAPACITOR-ELKO-RM5-10X16"";""Electrolytic Cap", 470µF, 25V, Low ESR, Kemet, Pitch=5mm, Dia=10mm, L=12,"5mm"";"""";"""";"""";""470uF ±20% 50V 10mm 20mm 5mm 2000Hrs @ 105℃ -55℃ ~ +105℃"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Prototype"";"""";"""";"""";"""";"""";"""";"""";"""";""50PX470MEFC10X20"";""Rubicon"";"""";"""";"""";"""";""20"";"""";""470uF/50V"";"""";"""";""0.14"";"""";"""";"""";"""";""LCSC"";"""";""THT"";"""";"""";"
"C117;""50PX470MEFC10X20"";""50PX470MEFC10X20"";""CAPACITOR-ELKO-RM5-10X16"";""Electrolytic Cap", 470µF, 25V, Low ESR, Kemet, Pitch=5mm, Dia=10mm, L=12,"5mm"";"""";"""";"""";""470uF ±20% 50V 10mm 20mm 5mm 2000Hrs @ 105℃ -55℃ ~ +105℃"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Prototype"";"""";"""";"""";"""";"""";"""";"""";"""";""50PX470MEFC10X20"";""Rubicon"";"""";"""";"""";"""";""20"";"""";""470uF/50V"";"""";"""";""0.14"";"""";"""";"""";"""";""LCSC"";"""";""THT"";"""";"""";"
"C118;""1uF/35V"";""C_0603"";""0603"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Open Source"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,,,
"D101;""MB10S"";""MB10S"";""SOIC4W"";"""";"""";"""";"""";""0.5 A 1000 V Low Leakage SMT Bridge Rectifier - SOIC-4"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Prototype"";"""";"""";"""";"""";"""";"""";"""";"""";""MB10S"";""On Semi", Diodes,"MDD"";"""";"""";"""";"""";"""";"""";""Bridge Rectifier"";"""";"""";""0.02"";"""";"""";"""";""10"";""Digikey"";"""";"""";"""";"""";",,,,,,
"D102;""STTH1L06ASTMICROELECTRONICS_STTH1L06A_0_0"";""STTH1L06ASTMICROELECTRONICS_STTH1L06A_0_0"";""SMA_STTH1L06A"";""Diode Standard 600V 1A Surface Mount SMA"";""No"";""No"";""https://www.st.com/content/ccc/resource/technical/document/datasheet/e9/c2/09/e3/32/47/44/bd/CD00002694.pdf/files/CD00002694.pdf/jcr:content/translations/en.CD00002694.pdf"";"""";""Discrete Semiconductors"";""Diodes"";""Rectifier Diodes"";""DIODE GEN PURP 600V 1A SMA"";""497-3241-2-ND"";""Recommended_Land_Pattern"";""1A"";""2.65mm"";""Yes"";"""";""+175°C"";""600V"";""20A"";""STMicroelectronics"";""SMA"";""68520089bca91e26"";""0"";""0"";"""";"""";""DIODE GEN PURP 600V 1A SMA"";""511-STTH1L06A"";""STTH1L06A"";"""";"""";""SMA"";"""";""1uA"";""D"";"""";"""";""Yes"";""0.05mm"";"""";"""";"""";"""";""+175°C"";""0.0.0.3"";",,,,,,,,
"FID101;""FIDUCIAL"";""FIDUCIAL"";""FIDUCIAL"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,,,
"IC101;""LD1117S33TR"";""LD1117S33TR"";""SOT223_LD1117S33TR"";""IC REG LINEAR 3.3V 800mA SOT223"";"""";"""";"""";""LDO","Fixed 15V 3.3V 1.3V @ 800mA SOT-223 "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Verified"";"""";"""";"""";"""";"""";"""";"""";"""";""LD1117S33TR"";""STmicro", Diodes, TI,";"";"";"";"";10"";"""";""xx1117x33xx"";"""";"""";"""";""0.07"";"""";"""";"""";""LCSC"";"""";"""";"""";"""";",,,,
"IC102;""AP63301WU-7"";""AP63301WU-7"";""SOT23-6"";""Buck Regulator", 3.8V-32V Input," 3A Low IQ Synchronous Buck Converter with Enhanced EMI"";"""";"""";"""";""Buck 3.8V to 32V Input 3A Low IQ Synchronous Buck Converter with Enhanced EMI"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Verified"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Diodes"";"""";"""";""AP63301WU-7"";"""";""10"";"""";""AP63301WU-7"";"""";"""";""0.25"";"""";"""";"""";"""";""Digikey"";"""";"""";"""";"""";",,,,,,
"IC103;""AP63301WU-7"";""AP63301WU-7"";""SOT23-6"";""Buck Regulator", 3.8V-32V Input," 3A Low IQ Synchronous Buck Converter with Enhanced EMI"";"""";"""";"""";""Buck 3.8V to 32V Input 3A Low IQ Synchronous Buck Converter with Enhanced EMI"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Verified"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Diodes"";"""";"""";""AP63301WU-7"";"""";""10"";"""";""AP63301WU-7"";"""";"""";""0.25"";"""";"""";"""";"""";""Digikey"";"""";"""";"""";"""";",,,,,,
"L101;""RLB0914-102KL"";""RLB0914-102KL"";""THTINDUCTOR8MM7"";"""";"""";"""";"""";""Inductor Power Wirewound 1mH 10% 252KHz 40Q-Factor Ferrite 300mA 2.1Ohm"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Prototype"";"""";"""";"""";"""";"""";"""";"""";"""";""RLB0914-102KL"";""Bourns"";"""";"""";"""";"""";""0"";"""";""1mH"";"""";"""";""0.42"";"""";"""";"""";"""";""Digikey"";"""";"""";"""";"""";",,,,,,,,
"L102;""RLB0914-102KL"";""RLB0914-102KL"";""THTINDUCTOR8MM7"";"""";"""";"""";"""";""Inductor Power Wirewound 1mH 10% 252KHz 40Q-Factor Ferrite 300mA 2.1Ohm"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Prototype"";"""";"""";"""";"""";"""";"""";"""";"""";""RLB0914-102KL"";""Bourns"";"""";"""";"""";"""";""0"";"""";""1mH"";"""";"""";""0.42"";"""";"""";"""";"""";""Digikey"";"""";"""";"""";"""";",,,,,,,,
"M101;""M_HOLE_3M"";""M_HOLE_3M"";""PCB_SCREW_M3_POWER"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,,,
"M102;""M_HOLE_3M"";""M_HOLE_3M"";""PCB_SCREW_M3_POWER"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,,,
"M103;""M_HOLE_3M"";""M_HOLE_3M"";""PCB_SCREW_M3_POWER"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,,,
"M104;""M_HOLE_3M"";""M_HOLE_3M"";""PCB_SCREW_M3_POWER"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,,,
"R101;""ERG-2SJ390V"";""ERG-2SJ390V"";""ERG-2SJ390V_0"";""RES 39 OHM 2W 5% AXIAL", Metal Oxide," Panasonic"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,
