"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"CENTROID_NOT_SPECIFIED";"CONN_GENDER";"CONN_ORIENTATION";"CONTACT_MATERIAL";"DATASHEET";"DESCRIPTION";"DESRIPTION";"DEVICE_CLASS_L1";"DEVICE_CLASS_L2";"DEVICE_CLASS_L3";"DIGIKEY_DESCRIPTION";"DIGIKEY_PART_NUMBER";"HEIGHT";"LEAD_FREE";"LIB_STATUS";"MF";"MFG_PACKAGE_IDENT";"MFG_PACKAGE_IDENT_DATE";"MFG_PACKAGE_IDENT_REV";"MFN";"MFR";"MOUSER_DESCRIPTION";"MOUSER_PART_NUMBER";"MPN";"OC_FARNELL";"OC_NEWARK";"OUR-STOCK";"OUR_STOCK";"PACKAGE";"PART_VALUE";"POPULARITY";"PREFIX";"PRICE";"PRICE-1";"ROHS";"SUPPLIER-1";"TECHNOLOGY";"TEMPERATURE_RANGE_HIGH";"TEMPERATURE_RANGE_LOW";"TYPE";"VERIFICATION_VERSION";
"6";"726386-2TE_726386-2";"726386-2TE_726386-2";"TE_726386-2";"X5, X6, X7, X8, X9, X10";"Terminals, Faston, GDS-Flachstecker 6.3x0.8mm, TE";"";"No";"Male";"Straight";"Tin";"http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F726386%7FG%7Fpdf%7FEnglish%7FENG_CD_726386_G.pdf%7F726386-2";"";"";"Connectors";"Terminal Blocks | Terminals";"unset";"CONN QC TAB 0.250 SOLDER";"A114371-ND";"10mm";"yes";"";"TE";"726386-2";"0";"0";"";"";"Terminals GDS-FLACHSTECK 6.3";"571-726386-2";"726386-2";"";"";"";"";"PTH_TERMINAL_8MM0_0MM8";"";"";"J";"";"";"yes";"";"";"+110°C";"-30°C";"";"0.0.0.1";
"1";"82R 1%";"R_1206";"R1206";"R86";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Verified";"";"";"";"";"R_Open_1206";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"B2B-XH-AM(LF)(SN)";"B2B-XH-AM(LF)(SN)";"B2B-XH-AM(LF)(SN)";"X1";"";"";"";"";"";"";"";"Connector, 2 pins, Header THT , Pitch 2.5mm, JST, Vertical";"";"";"";"";"";"";"";"";"";"";"";"";"";"B2B-XH-AM(LF)(SN)";"JST";"";"";"";"";"";"";"";"";"";"";"";"";"0.03";"";"LCSC";"THT";"";"";"";"";
"1";"B72205S0271K1011";"B72205S0271K1011";"EPCOS_B72205S0271K101_MODIFIED";"V5";"VARISTOR 205V 800A DISC 5MM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"B72205S0271K101B72205S2131K101";"B72205S0271K101B72205S2131K101";"EPCOS_B72205S0271K101_0";"V1, V4";"VARISTOR 205V 800A DISC 5MM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Verified";"";"";"";"";"B72205S0271K1011";"EPCOS";"";"";"";"";"";"";"10";"";"430V, 400A";"";"";"";"0.31";"";"Digikey";"";"";"";"";"";
"6";"BAS40-04,215";"BAS40-04,215";"SOT23-3";"D5, D7, D8, D9, D10, D13";"Schottky dual series, SOT23, 40V, 120mA";"";"";"";"";"";"";"Schottky dual series, SOT23, 40V, 120mA";"";"";"";"";"";"";"";"";"";"";"";"";"";"BAS40-04,215";"NXP";"";"";"";"";"";"";"";"";"BAS40-04";"";"";"";"0.19";"";"Mouser";"";"";"";"";"";
"8";"BC817";"BC817";"SOT23";"Q10, Q17, Q18, Q19, Q20, Q21, Q22, Q23";"";"";"";"";"";"";"";"Transistor BJT NPN SOT23 45V 0.5A";"";"";"";"";"";"";"";"";"";"";"";"";"";"BC817";"NXP";"";"";"";"";"";"";"";"";"";"";"";"";"0.03";"";"Mouser";"";"";"";"";"";
"1";"CSTNE8M00G520000R0";"CSTNE8M00G520000R0";"CSTNE8M00G520000R0";"IC2";"8.000MHz ±0.50% Ceramic Resonator with Built in Capacitor 10pF 40Ω Stability ±0.20% 3-SMD";"";"";"";"";"";"";"8MHz ±0.5% 10pF 40Ω SMD3213-3P Ceramic Resonators ";"";"";"";"";"";"";"";"";"Prototype";"";"";"";"";"CSTNE8M00G520000R0";"Murata";"";"";"";"";"";"";"";"";"8MHz, 0.5%";"";"";"";"0.12";"";"LCSC";"";"";"";"";"";
"8";"DMP6185SEQ-13";"DMP6185SEQ-13";"SOT223";"Q1, Q3, Q5, Q6, Q8, Q12, Q14, Q16";"PMOSFET, SOT-223, 60V, 3A";"";"";"";"";"";"";"";"PMOSFET 60V, 3A, SOT223";"";"";"";"";"";"";"";"";"";"";"";"";"DMP6185SEQ-13";"Diodes";"";"";"";"";"";"";"100";"";"DMP6185SEQ-13";"";"";"";"0.18";"";"LCSC";"";"";"";"";"";
"1";"ERP610W471MEF0";"ERP610W471MEF0";"CAP-P12.5-H15-W4-D1";"C2";"";"";"";"";"";"";"";"470 pF ±20% 760VAC Ceramic Capacitor Y5U (E) Radial X1,Y1";"";"";"";"";"";"";"";"";"Prototype";"";"";"";"";"ERP610W471MEF0";"Kemet";"";"";"";"";"";"";"150";"";"470pF/760VAC";"";"";"";"0.42";"";"Digikey";"";"";"";"";"";
